geometry,OBJECTID,Shape,CAPTURE,ACQ_MONTH,ACQ_YEAR,RUN,RUN_ALPHA,PHOTO,F_PLANE,F,HAGL,SCALE,Shape_Length,Shape_Area,MISSING
Geocortex.Gis.Geometries.Polygon,778,,1998,MAY,1998,2,None,80,0.23,0.1532,2490,0,14951.7723806227,13972218.5821634,
Geocortex.Gis.Geometries.Polygon,779,,1998,MAY,1998,2,None,81,0.23,0.1532,2490,0,14951.7677184148,13972209.8686081,
Geocortex.Gis.Geometries.Polygon,780,,1998,MAY,1998,2,None,82,0.23,0.1532,2490,0,14951.7670959661,13972208.7052587,
Geocortex.Gis.Geometries.Polygon,781,,1998,MAY,1998,2,None,83,0.23,0.1532,2490,0,14951.7751718555,13972223.798854,
Geocortex.Gis.Geometries.Polygon,782,,1998,MAY,1998,2,None,84,0.23,0.1532,2490,0,14951.7720840426,13972218.0278435,
Geocortex.Gis.Geometries.Polygon,783,,1998,MAY,1998,2,None,85,0.23,0.1532,2490,0,14951.7760431508,13972225.4273205,
Geocortex.Gis.Geometries.Polygon,784,,1998,MAY,1998,2,None,86,0.23,0.1532,2490,0,14951.788402745,13972248.5270347,
Geocortex.Gis.Geometries.Polygon,785,,1998,MAY,1998,2,None,87,0.23,0.1532,2490,0,14951.7944570145,13972259.8422954,
Geocortex.Gis.Geometries.Polygon,786,,1998,MAY,1998,2,None,88,0.23,0.1532,2490,0,14951.7937974576,13972258.6095756,
Geocortex.Gis.Geometries.Polygon,787,,1998,MAY,1998,2,None,89,0.23,0.1532,2490,0,14951.7864898791,13972244.9518233,
Geocortex.Gis.Geometries.Polygon,788,,1998,MAY,1998,2,None,90,0.23,0.1532,2490,0,14951.774729686,13972222.9723442,
Geocortex.Gis.Geometries.Polygon,789,,1998,MAY,1998,2,None,91,0.23,0.1532,2490,0,14951.7722952622,13972218.4224804,
Geocortex.Gis.Geometries.Polygon,790,,1998,MAY,1998,2,None,92,0.23,0.1532,2490,0,14951.7686787251,13972211.6633088,
Geocortex.Gis.Geometries.Polygon,791,,1998,MAY,1998,2,None,93,0.23,0.1532,2490,0,14951.763063215,13972201.1680763,
Geocortex.Gis.Geometries.Polygon,792,,1998,MAY,1998,2,None,94,0.23,0.1532,2490,0,14951.7568424765,13972189.5416606,
Geocortex.Gis.Geometries.Polygon,793,,1998,MAY,1998,2,None,95,0.23,0.1532,2490,0,14951.7514968394,13972179.5508858,
Geocortex.Gis.Geometries.Polygon,794,,1998,MAY,1998,2,None,96,0.23,0.1532,2490,0,14951.7423303699,13972162.4191856,
Geocortex.Gis.Geometries.Polygon,795,,1998,MAY,1998,2,None,97,0.23,0.1532,2490,0,14951.734405813,13972147.6085122,
Geocortex.Gis.Geometries.Polygon,796,,1998,MAY,1998,2,None,98,0.23,0.1532,2490,0,14951.7352332014,13972149.1548082,
Geocortex.Gis.Geometries.Polygon,797,,1998,MAY,1998,2,None,99,0.23,0.1532,2490,0,14951.7360831683,13972150.743299,
Geocortex.Gis.Geometries.Polygon,798,,1998,MAY,1998,2,None,100,0.23,0.1532,2490,0,14951.7394889185,13972157.1085627,
Geocortex.Gis.Geometries.Polygon,799,,1998,MAY,1998,2,None,101,0.23,0.1532,2490,0,14951.7345869575,13972147.9469656,
Geocortex.Gis.Geometries.Polygon,800,,1998,MAY,1998,2,None,102,0.23,0.1532,2490,0,14951.7113354935,13972104.4906423,
Geocortex.Gis.Geometries.Polygon,801,,1998,MAY,1998,2,None,103,0.23,0.1532,2490,0,14951.6819804622,13972049.6268233,
Geocortex.Gis.Geometries.Polygon,802,,1998,MAY,1998,2,None,104,0.23,0.1532,2490,0,14951.7036321715,13972090.0932715,
Geocortex.Gis.Geometries.Polygon,803,,1998,MAY,1998,2,None,105,0.23,0.1532,2490,0,14951.7273667144,13972134.4524931,
Geocortex.Gis.Geometries.Polygon,804,,1998,MAY,1998,2,None,106,0.23,0.1532,2490,0,14951.7376120016,13972153.6005951,
Geocortex.Gis.Geometries.Polygon,805,,1998,MAY,1998,2,None,107,0.23,0.1532,2490,0,14951.7460019471,13972169.2810392,
Geocortex.Gis.Geometries.Polygon,806,,1998,MAY,1998,2,None,108,0.23,0.1532,2490,0,14951.7457898702,13972168.884641,
Geocortex.Gis.Geometries.Polygon,807,,1998,MAY,1998,2,None,109,0.23,0.1532,2490,0,14951.7433128846,13972164.2552571,
Geocortex.Gis.Geometries.Polygon,808,,1998,MAY,1998,2,None,110,0.23,0.1532,2490,0,14951.7468383593,13972170.8442591,
Geocortex.Gis.Geometries.Polygon,809,,1998,MAY,1998,2,None,111,0.23,0.1532,2490,0,14951.7461648249,13972169.5854596,
Geocortex.Gis.Geometries.Polygon,810,,1998,MAY,1998,2,None,112,0.23,0.1532,2490,0,14951.7485541358,13972174.0510039,
Geocortex.Gis.Geometries.Polygon,811,,1998,MAY,1998,2,None,113,0.23,0.1532,2490,0,14951.7485541358,13972174.0510039,
Geocortex.Gis.Geometries.Polygon,1210,,1998,MAY,1998,3,None,40,0.23,0.1532,2490,0,14951.9119622891,13972479.4573471,
Geocortex.Gis.Geometries.Polygon,1211,,1998,MAY,1998,3,None,41,0.23,0.1532,2490,0,14951.9134133933,13972482.1694092,
